name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
David West,Golden State Warriors,11/2/2017,2017,2177,1610612744,400974868,4,8,29,0,Jump Shot,2PT Field Goal,14,San Antonio Spurs,-148,-6,0,0,,0,0
Stephen Curry,Golden State Warriors,10/17/2017,2017,3975,1610612744,400974438,3,10,6,0,Jump Shot,3PT Field Goal,26,Houston Rockets,168,208,0,0,,0,0
Kevin Durant,Golden State Warriors,10/17/2017,2017,3202,1610612744,400974438,3,4,36,0,Jump Shot,3PT Field Goal,24,Houston Rockets,170,182,0,0,,0,0
Stephen Curry,Golden State Warriors,11/18/2017,2017,3975,1610612744,400974982,3,1,22,0,Jump Shot,2PT Field Goal,18,Philadelphia 76ers,105,150,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,4,4,52,0,Jump Shot,3PT Field Goal,25,Houston Rockets,158,205,0,0,,0,0
Klay Thompson,Golden State Warriors,1/27/2018,2017,6475,1610612744,400975474,1,11,23,0,Jump Shot,2PT Field Goal,18,Boston Celtics,133,131,0,0,,0,0
Kevin Durant,Golden State Warriors,2/3/2018,2017,3202,1610612744,400975528,2,5,21,1,Jump Shot,2PT Field Goal,13,Denver Nuggets,68,116,0,0,,0,0
Nick Young,Golden State Warriors,11/2/2017,2017,3243,1610612744,400974868,4,2,49,0,Jump Shot,3PT Field Goal,24,San Antonio Spurs,-231,75,0,0,,0,0
Kevin Durant,Golden State Warriors,12/25/2017,2017,3202,1610612744,400974446,4,1,40,0,Jump Shot,3PT Field Goal,25,Cleveland Cavaliers,-165,200,0,0,,0,0
Patrick McCaw,Golden State Warriors,11/2/2017,2017,3137730,1610612744,400974868,4,4,49,1,Jump Shot,3PT Field Goal,25,San Antonio Spurs,-199,159,0,0,,0,0
Stephen Curry,Golden State Warriors,2/10/2018,2017,3975,1610612744,400975577,1,6,28,1,Jump Shot,3PT Field Goal,25,San Antonio Spurs,127,226,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,2,5,48,0,Jump Shot,3PT Field Goal,25,San Antonio Spurs,-13,257,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,1,6,24,0,Jump Shot,2PT Field Goal,21,Houston Rockets,55,209,0,0,,0,0
Zaza Pachulia,Golden State Warriors,10/17/2017,2017,2016,1610612744,400974438,1,7,49,1,Jump Shot,2PT Field Goal,18,Houston Rockets,90,157,0,0,,0,0
Stephen Curry,Golden State Warriors,2/3/2018,2017,3975,1610612744,400975528,2,1,12,0,Jump Shot,3PT Field Goal,24,Denver Nuggets,54,243,0,0,,0,0
Stephen Curry,Golden State Warriors,11/2/2017,2017,3975,1610612744,400974868,1,0,3,1,Jump Shot,3PT Field Goal,24,San Antonio Spurs,229,75,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,2,9,14,1,Jump Shot,2PT Field Goal,13,San Antonio Spurs,25,135,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,3,8,25,0,Jump Shot,3PT Field Goal,22,Houston Rockets,226,19,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,2,11,0,1,Jump Shot,2PT Field Goal,19,San Antonio Spurs,28,188,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,1,4,29,0,Jump Shot,3PT Field Goal,27,San Antonio Spurs,215,174,0,0,,0,0
Patrick McCaw,Golden State Warriors,11/2/2017,2017,3137730,1610612744,400974868,4,4,7,1,Jump Shot,3PT Field Goal,23,San Antonio Spurs,227,53,0,0,,0,0
Andre Iguodala,Golden State Warriors,3/2/2018,2017,2386,1610612744,400975674,1,2,59,0,Jump Shot,3PT Field Goal,23,Atlanta Hawks,-228,65,0,0,,0,0
Klay Thompson,Golden State Warriors,10/17/2017,2017,6475,1610612744,400974438,1,9,0,1,Jump Shot,3PT Field Goal,25,Houston Rockets,150,209,0,0,,0,0
Klay Thompson,Golden State Warriors,11/2/2017,2017,6475,1610612744,400974868,1,6,13,0,Jump Shot,3PT Field Goal,29,San Antonio Spurs,188,227,0,0,,0,0
